Generation,Sequence,Fitness,Score,World,Stage,X Position
17,31,3653.0,300,1,1,722
17,32,232.0,200,1,1,40
17,33,200.0,0,1,1,40
17,34,3007.0,200,1,1,595
17,35,3653.0,300,1,1,722
17,36,232.0,200,1,1,40
17,37,3637.0,200,1,1,723
17,38,232.0,200,1,1,40
17,39,200.0,0,1,1,40
17,40,3002.0,200,1,1,594
18,1,3632.0,200,1,1,722
18,2,3621.0,100,1,1,722
18,3,3658.0,300,1,1,723
18,4,3653.0,300,1,1,722
18,5,3653.0,300,1,1,722
18,6,3653.0,300,1,1,722
18,7,3653.0,300,1,1,722
18,8,3653.0,300,1,1,722
18,9,3653.0,300,1,1,722
18,10,200.0,0,1,1,40
18,11,3610.0,0,1,1,722
18,12,3002.0,200,1,1,594
18,13,3621.0,100,1,1,722
18,14,3658.0,300,1,1,723
18,15,3653.0,300,1,1,722
18,16,3002.0,200,1,1,594
18,17,3653.0,300,1,1,722
18,18,3658.0,300,1,1,723
18,19,3653.0,300,1,1,722
18,20,2970.0,0,1,1,594
18,21,3658.0,300,1,1,723
18,22,2970.0,0,1,1,594
18,23,3653.0,300,1,1,722
18,24,2970.0,0,1,1,594
18,25,3002.0,200,1,1,594
18,26,3658.0,300,1,1,723
18,27,200.0,0,1,1,40
18,28,3610.0,0,1,1,722
18,29,2970.0,0,1,1,594
18,30,3653.0,300,1,1,722
18,31,3653.0,300,1,1,722
18,32,3610.0,0,1,1,722
18,33,200.0,0,1,1,40
18,34,3642.0,200,1,1,722
18,35,3658.0,300,1,1,723
18,36,3658.0,300,1,1,723
18,37,3002.0,200,1,1,594
18,38,3653.0,300,1,1,722
18,39,3653.0,300,1,1,722
18,40,2975.0,0,1,1,595
19,1,3632.0,200,1,1,722
19,2,3653.0,300,1,1,722
19,3,3007.0,200,1,1,595
19,4,3653.0,300,1,1,722
19,5,200.0,0,1,1,40
19,6,3658.0,300,1,1,723
19,7,3658.0,300,1,1,723
19,8,3658.0,300,1,1,723
19,9,3002.0,200,1,1,594
19,10,3007.0,200,1,1,595
19,11,3653.0,300,1,1,722
